Player ID,Car,Total Points,Avg Rank,Wins,Finishes,Rank,Simulation Size,Mode
1,Car 01,97916,6.110833333333333,830,7669,1,1000,Random
9,Car 09,94921,5.574333333333334,981,6285,2,1000,Random
3,Car 03,92909,6.348416666666667,608,7695,3,1000,Random
5,Car 05,89272,6.586416666666667,500,7610,4,1000,Random
2,Car 02,89183,5.601583333333333,2272,4319,5,1000,Random
4,Car 04,85287,5.881333333333333,1993,4280,6,1000,Random
6,Car 06,84352,6.087083333333333,1890,4348,7,1000,Random
10,Car 10,80688,7.043583333333333,234,8924,8,1000,Random
7,Car 07,72254,6.488083333333333,757,6404,9,1000,Random
11,Car 11,66976,7.92025,179,6091,10,1000,Random
12,Car 12,54390,7.710416666666666,120,7661,11,1000,Random
8,Car 08,44616,6.647666666666667,1636,2600,12,1000,Random
